annee;" Voix ";Poucentage
1974;337 800;1,32
1975;337 800;1,32
1976;337 800;1,32
1977;337 800;1,32
1978;337 800;1,32
1979;337 800;1,32
1980;337 800;1,32
1981;1 126 254;3,88
1982;1 126 254;3,88
1983;1 126 254;3,88
1984;1 126 254;3,88
1985;1 126 254;3,88
1986;1 126 254;3,88
1987;1 126 254;3,88
1988;1 149 642;3,88
1989;1 149 642;3,79
1990;1 149 642;3,79
1991;1 149 642;3,79
1992;1 149 642;3,79
1993;1 149 642;3,79
1994;1 149 642;3,79
1995;1 010 681;3,32
1996;1 010 681;3,32
1997;1 010 681;3,32
1998;1 010 681;3,32
1999;1 010 681;3,32
2000;1 010 681;3,32
2001;1 010 681;3,32
2002;2 031 561;7,13
2003;2 031 561;7,13
2004;2 031 561;7,13
2005;2 031 561;7,13
2006;2 031 561;7,13
2007;576 666;7,13
2008;576 666;1,58
2009;576 666;1,58
2010;576 666;1,58
2011;576 666;1,58
2012;828 345;1,58
2013;828 345;2,32
2014;828 345;2,32
2015;828 345;2,32
2016;828 345;2,32
2017;0;0
2018;0;0
2019;0;0
2020;0;0
2021;0;0
2022;1 627 853;4,63